[2026-06-04T05:04:14.955+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-04T05:04:14.994+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio manual__2026-06-04T05:00:52.132455+00:00 [queued]>
[2026-06-04T05:04:15.007+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio manual__2026-06-04T05:00:52.132455+00:00 [queued]>
[2026-06-04T05:04:15.008+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-06-04T05:04:15.024+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-06-04 05:00:52.132455+00:00
[2026-06-04T05:04:15.036+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'manual__2026-06-04T05:00:52.132455+00:00', '--job-id', '101', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpomvf630i']
[2026-06-04T05:04:15.042+0000] {standard_task_runner.py:91} INFO - Job 101: Subtask download_minio
[2026-06-04T05:04:15.045+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=83847) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-04T05:04:15.046+0000] {standard_task_runner.py:64} INFO - Started process 83853 to run task
[2026-06-04T05:04:15.138+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio manual__2026-06-04T05:00:52.132455+00:00 [running]> on host 125711930d3c
[2026-06-04T05:04:15.360+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-06-04T05:00:52.132455+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-06-04T05:00:52.132455+00:00'
[2026-06-04T05:04:15.362+0000] {taskinstance.py:430} INFO - ::endgroup::
